Index,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
387,Turtwig,Grass,None,55,68,64,45,55,31
388,Grotle,Grass,None,75,89,85,55,65,36
389,Torterra,Grass,Ground,95,109,105,75,85,56
390,Chimchar,Fire,None,44,58,44,58,44,61
391,Monferno,Fire,Fighting,64,78,52,78,52,81
392,Infernape,Fire,Fighting,76,104,71,104,71,108
393,Piplup,Water,None,53,51,53,61,56,40
394,Prinplup,Water,None,64,66,68,81,76,50
395,Empoleon,Water,Steel,84,86,88,111,101,60
396,Starly,Normal,Flying,40,55,30,30,30,60
397,Staravia,Normal,Flying,55,75,50,40,40,80
398,Staraptor,Normal,Flying,85,120,70,50,60,100
399,Bidoof,Normal,None,59,45,40,35,40,31
400,Bibarel,Normal,Water,79,85,60,55,60,71
401,Kricketot,Bug,None,37,25,41,25,41,25
402,Kricketune,Bug,None,77,85,51,55,51,65
403,Shinx,Electric,None,45,65,34,40,34,45
404,Luxio,Electric,None,60,85,49,60,49,60
405,Luxray,Electric,None,80,120,79,95,79,70
406,Budew,Grass,Poison,40,30,35,50,70,55
407,Roserade,Grass,Poison,60,70,65,125,105,90
408,Cranidos,Rock,None,67,125,40,30,30,58
409,Rampardos,Rock,None,97,165,60,65,50,58
410,Shieldon,Rock,Steel,30,42,118,42,88,30
411,Bastiodon,Rock,Steel,60,52,168,47,138,30
412,Burmy,Bug,None,40,29,45,29,45,36
413,Wormadam,Bug,Grass,60,59,85,79,105,36
414,Mothim,Bug,Flying,70,94,50,94,50,66
415,Combee,Bug,Flying,30,30,42,30,42,70
416,Vespiquen,Bug,Flying,70,80,102,80,102,40
417,Pachirisu,Electric,None,60,45,70,45,90,95
418,Buizel,Water,None,55,65,35,60,30,85
419,Floatzel,Water,None,85,105,55,85,50,115
420,Cherubi,Grass,None,45,35,45,62,53,35
421,Cherrim,Grass,None,70,60,70,87,78,85
422,Shellos,Water,None,76,48,48,57,62,34
423,Gastrodon,Water,Ground,111,83,68,92,82,39
424,Ambipom,Normal,None,75,100,66,60,66,115
425,Drifloon,Ghost,Flying,90,50,34,60,44,70
426,Drifblim,Ghost,Flying,150,80,44,90,54,80
427,Buneary,Normal,None,55,66,44,44,56,85
428,Lopunny,Normal,None,65,76,84,54,96,105
429,Mismagius,Ghost,None,60,60,60,105,105,105
430,Honchkrow,Dark,Flying,100,125,52,105,52,71
431,Glameow,Normal,None,49,55,42,42,37,85
432,Purugly,Normal,None,71,82,64,64,59,112
433,Chingling,Psychic,None,45,30,50,65,50,45
434,Stunky,Poison,Dark,63,63,47,41,41,74
435,Skuntank,Poison,Dark,103,93,67,71,61,84
436,Bronzor,Steel,Psychic,57,24,86,24,86,23
437,Bronzong,Steel,Psychic,67,89,116,79,116,33
438,Bonsly,Rock,None,50,80,95,10,45,10
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60
440,Happiny,Normal,None,100,5,5,15,65,30
441,Chatot,Normal,Flying,76,65,45,92,42,91
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35
443,Gible,Dragon,Ground,58,70,45,40,45,42
